Parameters for c*ln(x-a)+b = [-5.43820767 14.36801819  7.66920384]

Minima for aluminum_far(t5)
t		°C
87.0		49.05
169.0		54.1
249.5		56.81
329.0		58.87
409.0		60.49
489.0		61.84
569.5		63.23
650.0		64.25
730.0		65.14
812.0		65.59

Maxima for aluminum_far(t5)
t		°C
56.0		51.4
131.5		58.75
210.5		62.11
290.5		64.36
370.5		66.15
450.0		67.65
531.0		68.98
610.0		70.16
690.5		71.06
770.0		71.92
851.0		72.14
