Parameters for c*ln(x-a)+b = [-50.49563487  -1.97913302   9.86737879]

Minima for brass_wide_close(t2)
t		°C
84.0		46.45
164.5		50.92
245.0		54.03
324.5		56.5
404.5		58.46
485.0		60.05
565.0		61.59
645.5		62.75
725.5		63.75
807.5		64.34

Maxima for brass_wide_close(t2)
t		°C
46.5		52.86
126.0		58.54
205.5		62.1
285.5		64.8
365.5		66.96
445.5		68.72
525.5		70.27
605.0		71.58
685.0		72.62
765.0		73.58
846.0		73.96
