Parameters for c*ln(x-a)+b = [-43.92552164  10.56412431   8.04223001]

Minima for aluminum_close(t6)
t		°C
82.5		49.44
163.5		53.64
243.5		56.04
323.0		57.97
403.0		59.52
483.0		60.86
563.0		62.25
643.5		63.26
723.5		64.14
806.0		64.59

Maxima for aluminum_close(t6)
t		°C
44.0		59.16
123.5		65.54
203.5		68.4
283.5		70.44
363.5		72.13
443.0		73.56
524.0		74.88
603.5		76.04
683.0		76.94
763.5		77.78
843.5		78.02
