Parameters for c*ln(x-a)+b = [-14.69279466  -2.94742813   9.93498876]

Minima for brass_wide_far(t1)
t		°C
88.5		43.19
172.5		48.86
254.0		52.53
334.5		55.26
415.0		57.38
494.5		59.07
575.5		60.6
655.5		61.82
736.0		62.84
818.0		63.56

Maxima for brass_wide_far(t1)
t		°C
80.5		43.23
145.5		49.6
222.5		53.78
300.0		56.82
380.0		59.17
459.0		61.04
539.0		62.62
618.5		63.98
697.0		65.08
778.5		66.03
858.0		66.56
