#	Temperatur 1 (°C)	Temperatur 2 (°C)	Temperatur 3 (°C)	Temperatur 4 (°C)	Temperatur 5 (°C)	Temperatur 6 (°C)	Temperatur 7 (°C)	Temperatur 8 (°C)	Zeit (s)
577	62.50	61.55	58.52	59.19	64.20	61.70	59.60	48.30	1152.0000
578	62.29	61.28	58.25	58.96	63.79	61.36	59.25	48.33	1154.0000
579	62.09	61.02	57.98	58.73	63.40	61.03	58.91	48.35	1156.0000
580	61.89	60.78	57.73	58.51	63.02	60.70	58.59	48.38	1158.0000
581	61.69	60.54	57.50	58.28	62.65	60.39	58.28	48.40	1160.0000
582	61.49	60.32	57.27	58.06	62.28	60.09	57.97	48.41	1162.0000
583	61.30	60.10	57.06	57.84	61.94	59.80	57.67	48.42	1164.0000
584	61.11	59.90	56.84	57.61	61.60	59.52	57.37	48.41	1166.0000
585	60.91	59.70	56.65	57.42	61.27	59.25	57.10	48.41	1168.0000
586	60.72	59.51	56.48	57.23	60.95	58.98	56.84	48.42	1170.0000
587	60.54	59.32	56.30	57.03	60.63	58.73	56.59	48.42	1172.0000
588	60.35	59.15	56.14	56.84	60.33	58.49	56.35	48.42	1174.0000
589	60.18	58.97	55.97	56.65	60.04	58.25	56.11	48.41	1176.0000
590	60.00	58.80	55.82	56.46	59.75	58.02	55.89	48.40	1178.0000
591	59.82	58.64	55.67	56.28	59.47	57.80	55.67	48.39	1180.0000
592	59.64	58.48	55.52	56.10	59.20	57.58	55.46	48.38	1182.0000
593	59.47	58.33	55.39	55.92	58.93	57.38	55.26	48.35	1184.0000
594	59.31	58.18	55.25	55.75	58.67	57.18	55.06	48.34	1186.0000
595	59.14	58.04	55.13	55.58	58.42	56.98	54.88	48.32	1188.0000
596	58.97	57.90	55.00	55.42	58.18	56.79	54.70	48.28	1190.0000
597	58.82	57.76	54.88	55.26	57.95	56.61	54.52	48.27	1192.0000
598	58.66	57.63	54.76	55.10	57.71	56.44	54.36	48.24	1194.0000
599	58.50	57.51	54.65	54.94	57.48	56.26	54.19	48.21	1196.0000
600	58.34	57.38	54.54	54.79	57.27	56.09	54.04	48.18	1198.0000
601	58.19	57.26	54.44	54.64	57.05	55.94	53.89	48.14	1200.0000
602	58.04	57.15	54.34	54.49	56.85	55.80	53.74	48.11	1202.0000
603	57.90	57.16	54.42	54.35	56.66	56.19	53.60	48.08	1204.0000
604	57.75	57.47	54.86	54.21	56.56	57.17	53.48	48.04	1206.0000
605	57.63	58.03	55.60	54.10	56.59	58.42	53.41	48.01	1208.0000
606	57.53	58.76	56.52	54.02	56.79	59.73	53.40	47.97	1210.0000
607	57.49	59.56	57.52	54.01	57.09	61.00	53.48	47.93	1212.0000
608	57.49	60.39	58.54	54.05	57.49	62.20	53.65	47.90	1214.0000
609	57.50	61.19	59.54	54.15	57.91	63.29	53.90	47.86	1216.0000
610	57.59	61.99	60.51	54.29	58.38	64.30	54.21	47.82	1218.0000
611	57.73	62.76	61.41	54.48	58.92	65.26	54.57	47.79	1220.0000
612	57.90	63.49	62.26	54.69	59.48	66.14	54.97	47.75	1222.0000
613	58.08	64.18	63.06	54.93	60.03	66.95	55.41	47.71	1224.0000
614	58.28	64.84	63.81	55.19	60.58	67.71	55.86	47.68	1226.0000
615	58.50	65.45	64.51	55.46	61.14	68.42	56.34	47.65	1228.0000
616	58.72	66.02	65.15	55.75	61.68	69.07	56.83	47.62	1230.0000
617	58.96	66.57	65.76	56.04	62.23	69.69	57.31	47.58	1232.0000
618	59.20	67.08	66.33	56.33	62.77	70.28	57.81	47.56	1234.0000
619	59.45	67.57	66.85	56.63	63.30	70.84	58.30	47.53	1236.0000
620	59.70	68.02	67.35	56.93	63.82	71.36	58.80	47.52	1238.0000
621	59.95	68.46	67.77	57.19	64.33	71.85	59.24	47.47	1240.0000
622	60.21	68.87	68.22	57.50	64.83	72.33	59.71	47.46	1242.0000
623	60.46	69.26	68.63	57.81	65.32	72.78	60.18	47.45	1244.0000
