Parameters for c*ln(x-a)+b = [-547.28040531 -111.97054179   21.30691517]

Minima for steel_far(t8)
t		°C
240.0		30.24
438.0		34.61
642.0		38.86
842.0		42.53
1050.0		45.27
1244.0		47.45

Maxima for steel_far(t8)
t		°C
176.0		30.71
394.0		34.81
588.0		39.19
778.0		43.05
974.0		46.05
1164.0		48.42
1370.0		50.34
