#   dx [cm],    F [N],  D [N/cm]
    4.0,        0.12,   0.030,
    10.5,       0.31,   0.029,
    18.0,       0.53,   0.029,
    23.5,       0.69,   0.029,
    29.5,       0.88,   0.029,
    42.0,       1.25,   0.029,
    47.5,       1.42,   0.029,
    48.0,       1.44,   0.030,
    56.0,       1.67,   0.029,
    57.5,       1.72,   0.029,
